0,8
1,7
2,9
3,1
4,10
5,2
6,13
6,11
7,5
8,5
9,15
10,9
11,1
11,13
12,4
13,11
14,6
14,4
15,1
16,6
17,2
18,0
19,3
20,8
21,6
22,6
23,7
24,3
25,15
26,11
27,5
28,15
29,2
30,10
31,13
31,7
32,2
33,7
33,10
34,12
35,10
36,6
37,15
37,14
38,4
39,8
40,8
41,9
42,3
43,10
44,1
45,7
46,13
46,7
47,13
48,2
49,6
50,9
51,5
52,13
52,15
53,7
54,8
55,14
55,12
56,15
57,10
58,10
59,10
60,9
61,15
62,7
63,3
64,9
65,2
66,9
67,1
68,5
69,7
70,0
71,11
72,14
73,5
74,2
75,2
76,2
77,0
78,1
79,0
80,14
81,4
82,3
83,2
84,0
85,9
86,4
87,1
88,13
89,4
90,0
90,2
91,15
92,0
93,13
94,2
95,0
96,15
96,9
97,3
98,6
99,12
100,14
101,7
102,10
103,4
104,4
105,13
106,4
107,9
108,14
109,13
110,3
111,4
112,5
113,10
114,13
115,15
116,0
117,6
118,14
119,1
119,9
120,1
120,13
121,5
122,14
123,6
124,5
125,11
126,0
127,11
128,12
129,7
130,8
131,9
131,0
132,2
133,1
134,4
135,8
136,7
137,11
138,1
139,1
140,8
141,1
142,11
143,10
144,12
145,7
146,2
147,11
147,8
148,4
149,11
150,0
150,13
151,5
152,7
153,0
154,12
155,4
156,4
157,13
158,1
159,14
160,7
161,2
161,3
162,9
162,8
163,0
164,0
165,0
166,8
167,6
168,13
169,4
170,9
171,13
172,0
173,5
174,11
175,9
175,12
176,4
177,5
177,10
178,5
179,3
180,4
180,5
181,9
182,10
183,2
183,14
184,8
185,3
186,11
187,8
188,15
189,1
190,12
191,9
192,8
193,10
194,13
195,5
196,4
196,0
197,15
197,0
198,9
199,10
200,2
201,15
201,12
202,14
203,12
204,15
205,13
206,6
207,15
208,0
209,7
210,13
211,11
211,1
212,12
212,14
213,11
214,12
214,14
215,1
216,4
217,7
218,5
219,14
220,0
220,3
221,6
222,9
223,0
224,13
225,12
226,7
227,11
227,2
228,0
229,9
230,9
231,2
232,10
233,7
234,8
235,11
236,3
236,4
237,4
238,0
239,2
240,6
241,9
242,10
243,11
243,7
244,10
245,6
246,2
247,8
248,12
248,7
249,5
250,11
250,6
251,11
252,9
252,8
253,2
254,15
255,13
255,4
256,12
257,9
258,0
259,8
260,11
261,1
262,5
263,15
263,3
264,12
265,3
266,6
267,15
268,13
269,15
270,3
271,1
271,8
272,10
273,15
274,6
275,5
276,11
277,14
278,4
279,11
280,15
281,12
282,4
283,1
284,9
285,7
286,14
287,0
288,0
289,6
290,14
291,1
291,3
292,13
293,1
294,10
295,3
296,9
297,6
298,6
299,9
300,9
301,0
302,4
303,10
304,9
305,0
306,10
307,14
308,5
308,10
309,10
310,1
311,6
312,1
313,8
314,15
315,12
316,5
317,8
318,9
319,10
320,12
321,3
321,11
322,2
323,14
324,4
325,12
325,13
326,12
327,10
328,3
329,0
330,6
331,1
332,2
333,1
334,6
335,3
335,15
336,7
337,13
338,6
339,8
340,14
341,12
342,11
343,7
344,1
345,4
346,0
347,12
348,13
349,6
350,11
351,9
352,3
353,15
354,12
355,12
356,15
357,2
358,10
359,8
360,15
360,11
361,7
362,12
363,7
364,0
365,12
366,6
367,5
368,8
369,8
370,13
371,1
372,10
373,9
374,10
375,8
376,10
377,2
378,11
379,3
380,8
381,10
381,5
382,3
383,13
384,12
385,14
386,2
387,5
387,6
388,5
389,15
390,2
391,15
391,7
392,1
393,13
394,1
395,15
396,11
396,10
397,2
398,0
399,9
400,1
401,14
402,13
403,14
404,8
405,7
406,3
407,0
408,5
409,9
410,5
411,9
411,13
412,14
413,11
414,8
415,2
416,11
416,1
417,4
418,15
419,12
420,5
421,3
422,7
423,3
424,9
425,10
426,1
427,0
428,2
429,8
430,12
431,6
432,8
433,5
434,13
435,7
436,4
437,3
438,8
439,4
440,6
441,15
442,12
443,12
443,0
444,10
445,5
446,9
447,4
448,15
449,4
450,6
451,15
451,11
452,0
453,9
454,4
455,5
456,6
456,4
457,9
457,1
458,15
459,0
460,13
461,9
462,0
463,7
464,3
464,4
465,8
466,1
467,12
468,14
469,3
470,11
471,10
472,9
473,10
473,3
474,8
474,11
475,13
476,13
477,8
478,5
479,4
480,5
481,13
482,5
483,15
484,10
485,4
486,10
487,12
488,15
489,6
490,1
491,5
492,11
493,2
494,7
494,4
495,14
496,15
497,10
498,5
499,2
500,3
500,5
501,4
502,7
503,12
504,15
505,0
506,15
507,2
507,6
508,15
509,8
510,0
511,4
512,2
513,14
514,5
515,3
516,5
517,2
518,2
519,6
520,15
521,15
522,4
523,10
524,1
525,13
526,4
527,4
528,11
529,11
530,10
531,14
532,6
532,13
533,13
534,2
535,4
536,11
537,15
538,10
539,10
540,0
541,2
542,5
543,1
544,9
545,5
546,1
547,14
548,1
549,14
550,15
551,1
552,12
553,14
553,8
554,9
555,8
556,6
557,7
558,8
559,1
560,10
561,10
562,2
563,13
564,10
565,7
566,14
567,0
568,13
569,14
570,11
571,13
572,2
573,3
574,10
574,4
575,11
576,13
577,14
578,3
579,5
580,5
581,0
582,2
583,8
584,2
585,6
586,1
587,9
588,6
589,10
590,10
591,4
591,15
592,14
593,14
594,3
595,9
596,8
597,12
598,6
599,15
600,9
601,1
602,0
603,11
604,5
605,1
606,6
607,11
608,5
609,1
610,0
611,2
612,7
613,13
614,0
615,13
616,3
616,10
617,15
618,1
619,10
620,11
621,6
622,15
623,14
624,8
625,9
626,12
627,14
628,5
629,12
630,14
631,3
632,14
633,12
634,5
635,14
636,9
637,12
638,0
639,5
640,11
641,4
642,10
643,9
644,14
644,12
645,4
646,3
647,5
648,13
649,14
649,3
650,14
651,0
652,5
653,2
654,3
